Date : 2023-02-11 12:42:30
Directory : /Users/andrew/Dev/fun_projects/svelteGame
Total : 76 files,  9839 codes, 827 comments, 413 blanks, all 11079 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Member.js                                            | JavaScript         |         29 |          0 |          1 |         30 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Player.js                                            | JavaScript         |         14 |          0 |          1 |         15 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Room copy.js                                         | JavaScript         |         82 |          5 |          1 |         88 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Room.js                                              | JavaScript         |        125 |          8 |          1 |        134 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/database/db.js                                       | JavaScript         |         96 |          5 |          1 |        102 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/database/dbOld.js                                    | JavaScript         |          1 |        152 |          1 |        154 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/database/models.js                                   | JavaScript         |         40 |         75 |          1 |        116 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/socket/index.js                                      | JavaScript         |        181 |          4 |          1 |        186 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/socket/types.js                                      | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/utils.js                                             | JavaScript         |         27 |          3 |          1 |         31 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/globalConsts.js                                                     | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/types.js                                                            | JavaScript         |         20 |          0 |          1 |         21 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/index.ts                                                                  | TypeScript         |        232 |         13 |         25 |        270 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/package-lock.json                                                         | JSON               |      2,624 |          0 |          1 |      2,625 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/package.json                                                              | JSON               |         28 |          0 |          1 |         29 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/Game.ts                                                               | TypeScript         |        117 |         48 |         25 |        190 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/GameServer.ts                                                         | TypeScript         |        102 |         10 |         19 |        131 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/Member.ts                                                             | TypeScript         |         26 |          0 |          3 |         29 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/Player.ts                                                             | TypeScript         |         11 |          1 |          2 |         14 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/Room.ts                                                               | TypeScript         |        111 |          8 |         14 |        133 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/database/db.ts                                                        | TypeScript         |         73 |          5 |          3 |         81 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/database/dbOld.ts                                                     | TypeScript         |          0 |        152 |          5 |        157 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/database/models.ts                                                    | TypeScript         |         34 |         75 |         13 |        122 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/socket/index.ts                                                       | TypeScript         |        177 |          4 |         28 |        209 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/src/utils.ts                                                              | TypeScript         |         21 |          3 |          2 |         26 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/tsconfig.json                                                             | JSON with Comments |         11 |         84 |          9 |        104 |
| /Users/andrew/Dev/fun_projects/svelteGame/globalConsts.ts                                                                      | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/.eslintrc.cjs                                                                 | JavaScript         |         20 |          0 |          1 |         21 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/.prettierrc                                                                   | JSON               |          9 |          0 |          1 |         10 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/README.md                                                                     | Markdown           |         24 |          0 |         15 |         39 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/package-lock.json                                                             | JSON               |      3,475 |          0 |          1 |      3,476 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/package.json                                                                  | JSON               |         39 |          0 |          1 |         40 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/postcss.config.cjs                                                            | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/app.css                                                                   | CSS                |          3 |          0 |          1 |          4 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/app.d.ts                                                                  | TypeScript         |          2 |          7 |          1 |         10 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/app.html                                                                  | HTML               |         12 |          1 |          1 |         14 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/Chat.svelte                                                    | Svelte             |         49 |          0 |          3 |         52 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/CreateJoin.svelte                                              | Svelte             |        151 |          0 |         21 |        172 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/GameRules.svelte                                               | Svelte             |         94 |          1 |          9 |        104 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/InviteLink.svelte                                              | Svelte             |         45 |          1 |          7 |         53 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/NavBar.svelte                                                  | Svelte             |         18 |          0 |          3 |         21 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/PackSelection.svelte                                           | Svelte             |        116 |          2 |         19 |        137 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/RoomSettings.svelte                                            | Svelte             |        111 |          4 |         14 |        129 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/UserDisplay.svelte                                             | Svelte             |         92 |          3 |          8 |        103 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/game/Game.svelte                                               | Svelte             |          8 |          0 |          5 |         13 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/inputs/BoolInput.svelte                                        | Svelte             |          4 |          0 |          1 |          5 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/inputs/NumberInput.svelte                                      | Svelte             |          7 |          0 |          1 |          8 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/inputs/TextInput.svelte                                        | Svelte             |          7 |          0 |          1 |          8 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/mobileView/MobileNavBox.svelte                                 | Svelte             |         25 |          1 |          2 |         28 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/mobileView/MobileNavItem.svelte                                | Svelte             |          0 |          0 |          1 |          1 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/mobileView/MobileRoom.svelte                                   | Svelte             |         46 |          6 |          7 |         59 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/modals/Modal.svelte                                            | Svelte             |         72 |          3 |         17 |         92 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/components/modals/SettingsModal.svelte                                    | Svelte             |         10 |          0 |          2 |         12 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/lib/realtime.ts                                                           | TypeScript         |         37 |          0 |         10 |         47 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/+layout.svelte                                                     | Svelte             |          7 |          1 |          2 |         10 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/+page.svelte                                                       | Svelte             |         50 |          1 |          6 |         57 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/+page.ts                                                           | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/Create.svelte                                                      | Svelte             |          5 |          0 |          3 |          8 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/Join.svelte                                                        | Svelte             |          3 |          0 |          4 |          7 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/room/+page.svelte                                                  | Svelte             |        122 |          1 |         10 |        133 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/room/join/+page.svelte                                             | Svelte             |          8 |          0 |          2 |         10 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/routes/room/join/+page.ts                                                 | TypeScript         |          5 |          1 |          4 |         10 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/src/stores.ts                                                                 | TypeScript         |         43 |          0 |         17 |         60 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/svelte.config.js                                                              | JavaScript         |          9 |          3 |          4 |         16 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/tailwind.config.cjs                                                           | JavaScript         |         15 |          1 |          0 |         16 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/tsconfig.json                                                                 | JSON with Comments |         13 |         10 |          0 |         23 |
| /Users/andrew/Dev/fun_projects/svelteGame/svelte/vite.config.js                                                                | JavaScript         |         11 |          1 |          2 |         14 |
| /Users/andrew/Dev/fun_projects/svelteGame/types.ts                                                                             | TypeScript         |        141 |          9 |         34 |        184 |
| Total                                                                                                                          |                    |      9,839 |        827 |        413 |     11,079 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
